MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1353472	Rpl7a	ribosomal protein L7A	2		cytosolic large ribosomal subunit			IBA	PTN000559990 	J:265628 
MGI:1353472	Rpl7a	ribosomal protein L7A	2		cytosolic large ribosomal subunit			ISO	RGD:1307586 	J:155856 
MGI:1913479	Rpl7l1	ribosomal protein L7-like 1	17		cytosolic large ribosomal subunit			IBA	PTN000897517 	J:265628 
MGI:1350927	Rpl8	ribosomal protein L8	15		cytosolic large ribosomal subunit			IBA	PTN000343558 	J:265628 
MGI:1350927	Rpl8	ribosomal protein L8	15		cytosolic large ribosomal subunit			ISO	P62917 	J:164563 
MGI:1350927	Rpl8	ribosomal protein L8	15		large ribosomal subunit			IEA	IPR023672 	J:72247 
MGI:1298373	Rpl9	ribosomal protein L9	5		cytosolic large ribosomal subunit			IBA	PTN000183647 	J:265628 
MGI:1298373	Rpl9	ribosomal protein L9	5		cytosolic large ribosomal subunit			IDA		J:49488 
MGI:1298373	Rpl9	ribosomal protein L9	5		cytosolic large ribosomal subunit			ISO	RGD:62049 	J:155856 
MGI:105943	Rpl10	ribosomal protein L10	X		cytosolic large ribosomal subunit			IBA	PTN000197715 	J:265628 
MGI:105943	Rpl10	ribosomal protein L10	X		cytosolic large ribosomal subunit			ISO	RGD:621178 	J:155856 
MGI:105943	Rpl10	ribosomal protein L10	X		cytosolic large ribosomal subunit			ISO	P27635 	J:73065 
MGI:1343877	Rpl10a	ribosomal protein L10A	17		cytosolic large ribosomal subunit			IBA	PTN000559990 	J:265628 
MGI:1343877	Rpl10a	ribosomal protein L10A	17		cytosolic large ribosomal subunit			ISO	RGD:620497 	J:155856 
MGI:1343877	Rpl10a	ribosomal protein L10A	17		cytosolic large ribosomal subunit			ISO	P62906 	J:164563 
MGI:1343877	Rpl10a	ribosomal protein L10A	17		large ribosomal subunit			IEA	IPR002143 	J:72247 
MGI:3647985	Rpl10l	ribosomal protein L10-like	12		cytosolic large ribosomal subunit			IBA	PTN000197715 	J:265628 
MGI:3647985	Rpl10l	ribosomal protein L10-like	12		cytosolic large ribosomal subunit	is a part of testis		IDA		J:197929 
MGI:1914275	Rpl11	ribosomal protein L11	4		cytosolic large ribosomal subunit			IBA	PTN000242048 	J:265628 
MGI:1914275	Rpl11	ribosomal protein L11	4		cytosolic large ribosomal subunit			ISO	RGD:1308681 	J:155856 
MGI:1914275	Rpl11	ribosomal protein L11	4		cytosolic large ribosomal subunit			ISO	P62913 	J:164563 
MGI:98002	Rpl12	ribosomal protein L12	2		cytosolic large ribosomal subunit			IBA	PTN000184010 	J:265628 
